alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.001,100,l2,Test,0.14,0.23,0.17,0.14,0.18,0.14,0.15,0.21,0.15,0.14
0.001,100,l1,Train,0.26,0.55,0.38,0.42,0.45,0.36,0.26,0.22,0.28,0.44
0.001,100,l1,Test,0.16,0.27,0.21,0.22,0.22,0.16,0.22,0.16,0.17,0.2
0.001,100,elasticnet,Train,0.19,0.18,0.2,0.17,0.15,0.15,0.15,0.2,0.14,0.2
0.001,100,elasticnet,Test,0.2,0.14,0.21,0.14,0.14,0.14,0.15,0.22,0.14,0.14
0.001,500,l2,Train,0.14,0.15,0.21,0.24,0.23,0.19,0.14,0.19,0.2,0.19
0.001,500,l2,Test,0.14,0.15,0.18,0.22,0.19,0.17,0.15,0.16,0.16,0.15
0.001,500,l1,Train,0.47,0.37,0.46,0.47,0.36,0.35,0.32,0.34,0.21,0.4
0.001,500,l1,Test,0.29,0.27,0.25,0.23,0.23,0.21,0.18,0.22,0.16,0.22
0.001,500,elasticnet,Train,0.18,0.18,0.19,0.21,0.16,0.17,0.23,0.14,0.19,0.18
0.001,500,elasticnet,Test,0.18,0.17,0.18,0.2,0.15,0.14,0.25,0.14,0.14,0.14
0.001,1000,l2,Train,0.19,0.19,0.18,0.15,0.17,0.15,0.16,0.15,0.15,0.21
0.001,1000,l2,Test,0.18,0.17,0.19,0.14,0.14,0.14,0.18,0.14,0.14,0.18
0.001,1000,l1,Train,0.31,0.33,0.27,0.27,0.27,0.26,0.52,0.32,0.48,0.42
0.001,1000,l1,Test,0.21,0.19,0.22,0.19,0.15,0.14,0.29,0.25,0.18,0.18
0.001,1000,elasticnet,Train,0.2,0.23,0.16,0.14,0.19,0.18,0.17,0.19,0.17,0.22
0.001,1000,elasticnet,Test,0.19,0.18,0.18,0.14,0.18,0.15,0.16,0.17,0.16,0.19
0.01,100,l2,Train,0.16,0.18,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14
0.01,100,l2,Test,0.17,0.17,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.14
0.01,100,l1,Train,0.19,0.17,0.14,0.17,0.14,0.14,0.14,0.17,0.14,0.14
0.01,100,l1,Test,0.18,0.16,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14
0.01,100,elasticnet,Train,0.14,0.16,0.14,0.16,0.17,0.15,0.17,0.14,0.15,0.18
0.01,100,elasticnet,Test,0.14,0.15,0.14,0.15,0.19,0.17,0.18,0.14,0.14,0.17
0.01,500,l2,Train,0.15,0.14,0.14,0.17,0.14,0.14,0.15,0.16,0.14,0.14
0.01,500,l2,Test,0.14,0.14,0.14,0.18,0.14,0.14,0.17,0.19,0.15,0.14
0.01,500,l1,Train,0.14,0.14,0.15,0.14,0.14,0.18,0.14,0.14,0.14,0.17
0.01,500,l1,Test,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15
0.01,500,elasticnet,Train,0.14,0.14,0.14,0.17,0.14,0.14,0.14,0.16,0.16,0.15
0.01,500,elasticnet,Test,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.16,0.15,0.14
0.01,1000,l2,Train,0.14,0.14,0.17,0.17,0.14,0.14,0.14,0.17,0.15,0.14
0.01,1000,l2,Test,0.14,0.14,0.16,0.2,0.14,0.15,0.14,0.19,0.14,0.14
0.01,1000,l1,Train,0.14,0.14,0.14,0.17,0.14,0.14,0.14,0.14,0.16,0.17
0.01,1000,l1,Test,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.17,0.18
0.01,1000,elasticnet,Train,0.14,0.17,0.15,0.16,0.14,0.16,0.14,0.16,0.14,0.16
0.01,1000,elasticnet,Test,0.14,0.15,0.16,0.17,0.13,0.14,0.14,0.13,0.15,0.15
